2026-08-07 00:08:40,756 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:40,769 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:40,771 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:40,772 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
2026-08-07 00:08:40,789 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
2026-08-07 00:08:40,789 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:40,816 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:40,818 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:40,819 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
2026-08-07 00:08:40,819 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:40,832 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:40,833 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:40,850 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
2026-08-07 00:08:40,851 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:40,863 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:40,864 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:40,864 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
2026-08-07 00:08:40,864 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:40,878 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:40,883 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:40,897 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
2026-08-07 00:08:40,897 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:40,925 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
